time,Actual Load,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore,renewable
2020-01-03 05:00:00+01:00,15333.0,0.0,3976.0,0.0,7763.0,1304.0,0.0,7264.0,11240.0
2020-01-03 06:00:00+01:00,16148.0,0.0,4551.0,0.0,7762.0,1327.0,0.0,7087.0,11638.0
2020-01-03 07:00:00+01:00,17433.0,0.0,5356.0,0.0,7764.0,1324.0,0.0,7086.0,12442.0
2020-01-03 08:00:00+01:00,18107.0,0.0,5938.0,0.0,7762.0,1335.0,0.0,6953.0,12891.0
2020-01-03 09:00:00+01:00,18256.0,0.0,5934.0,0.0,7761.0,1327.0,0.0,6846.0,12780.0
2020-01-03 10:00:00+01:00,18527.0,0.0,6021.0,0.0,7765.0,1342.0,0.0,6823.0,12844.0
2020-01-03 11:00:00+01:00,18499.0,0.0,6211.0,0.0,7762.0,1350.0,0.0,6837.0,13048.0
2020-01-03 12:00:00+01:00,18655.0,0.0,6449.0,0.0,7760.0,1349.0,0.0,6816.0,13265.0
2020-01-03 13:00:00+01:00,18778.0,0.0,6525.0,0.0,7761.0,1354.0,0.0,6836.0,13361.0
2020-01-03 14:00:00+01:00,18670.0,0.0,6728.0,0.0,7760.0,1354.0,0.0,6707.0,13435.0
2020-01-03 15:00:00+01:00,19193.0,0.0,7345.0,0.0,7759.0,1353.0,0.0,6561.0,13906.0
2020-01-03 16:00:00+01:00,19743.0,0.0,7583.0,0.0,7760.0,1349.0,0.0,6500.0,14083.0
2020-01-03 17:00:00+01:00,19641.0,0.0,7560.0,0.0,7760.0,1358.0,0.0,6465.0,14025.0
2020-01-03 18:00:00+01:00,19281.0,0.0,7216.0,0.0,7755.0,1356.0,0.0,6537.0,13753.0
2020-01-03 19:00:00+01:00,18835.0,0.0,6570.0,0.0,7757.0,1364.0,0.0,6705.0,13275.0
2020-01-03 20:00:00+01:00,18036.0,0.0,5986.0,0.0,7765.0,1321.0,0.0,6893.0,12879.0
